symbol	n	sources	fusion	tumorsuppressor	oncogene
A1CF	2	OncoKB-Annotated|NGC_known	FALSE	FALSE	TRUE
ABCB1	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
ABCG2	2	CancerGeneCensus_Tier2|FamilialCancer	FALSE	FALSE	FALSE
ABI1	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	TRUE	FALSE
ABL1	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|Cancermine	TRUE	FALSE	TRUE
ABL2	8	PMCC|TS500|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|NGC_known	TRUE	FALSE	TRUE
ABRAXAS1	4	TS500|MSKCC-IMPACT|TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
ACKR3	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
ACSL3	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
ACSL6	3	FoundatoinHEME|OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
ACTA2	2	TEMPUS|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
ACTB	2	FoundatoinHEME|NGC_other	FALSE	FALSE	FALSE
ACVR1	5	TS500|MSKCC-IMPACT|CancerGeneCensus_Tier1|NGC_known|NGC_other	FALSE	FALSE	TRUE
ACVR1B	8	PMCC|TS500|FoundationONE|TEMPUS|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ACVR2A	5	CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	TRUE	FALSE
ADGRA2	5	PMCC|TS500|FoundationONE|FoundatoinHEME|CancerGeneCensus_Tier2	FALSE	FALSE	FALSE
AFDN	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
AFF1	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	FALSE
AFF3	2	CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
AFF4	3	FoundatoinHEME|CancerGeneCensus_Tier1|NGC_known	TRUE	FALSE	TRUE
AJUBA	4	TEMPUS|CancerGeneCensus_Tier2|AZ300|NGC_other	FALSE	FALSE	FALSE
AKAP9	2	OncoKB-Annotated|NGC_known	TRUE	FALSE	FALSE
AKT1	13	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other|Cancermine	FALSE	FALSE	TRUE
AKT2	12	PMCC|TS500|MSKCC-IMPACT|MSKCC-HEME|FoundationONE|FoundatoinHEME|TEMPUS|CancerGeneCensus_Tier1|CancerGeneCensus_Tier2|AZ300|NGC_known|NGC_other	FALSE	FALSE	TRUE
